,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
6658,ilusa,賃貸マンション,東京都千代田区神田小川町３,都営三田線/神保町駅 歩4分,築22年,6階建,3階,21.8万円,15000円,43.6万円,-,ワンルーム,49.55m2
6666,都営新宿線 小川町駅 9階建 築20年,賃貸マンション,東京都千代田区神田小川町３,都営新宿線/小川町駅 歩2分,築20年,9階建,7階,10.2万円,7000円,-,-,1K,22.29m2
6669,ＣＫ３３２,賃貸マンション,東京都千代田区九段南３,都営新宿線/市ケ谷駅 歩6分,築4年,5階建,4階,9万円,3000円,-,-,1K,12.72m2
6675,ＪＲ山手線 神田駅 11階建 築20年,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩2分,築20年,11階建,3階,9.5万円,5000円,9.5万円,-,1K,23.98m2
6684,トーアホワイトハイツ,賃貸マンション,東京都千代田区飯田橋２,ＪＲ中央線/飯田橋駅 歩7分,築41年,8階建,3階,16万円,-,32万円,32万円,2DK,42.9m2
6687,ダイアパレス水道橋,賃貸マンション,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩3分,築26年,12階建,7階,7.9万円,6000円,7.9万円,7.9万円,1K,22.95m2
6690,東京メトロ半蔵門線 半蔵門駅 7階建 築47年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,築47年,7階建,6階,16.5万円,10000円,16.5万円,16.5万円,1LDK,41.1m2
6711,クレール平河町,賃貸マンション,東京都千代田区平河町２,東京メトロ千代田線/国会議事堂前駅 歩10分,築42年,11階建,4階,36万円,32800円,36万円,-,1LDK,80.35m2
6720,都営新宿線 小川町駅 地下1地上6階建 築34年,賃貸マンション,東京都千代田区神田美土代町,都営新宿線/小川町駅 歩2分,築34年,地下1地上6階建,4階,33万円,-,66万円,66万円,1LDK,80.74m2
6723,都営新宿線 岩本町駅 13階建 築20年,賃貸マンション,東京都千代田区神田須田町２,都営新宿線/岩本町駅 歩1分,築20年,13階建,6階,9.5万円,9000円,-,-,1K,22.99m2
6726,マートルコート麹町,賃貸マンション,東京都千代田区九段南３,東京メトロ南北線/市ケ谷駅 歩4分,築41年,14階建,13階,9.9万円,8000円,9.9万円,9.9万円,1K,27.3m2
6727,マートルコート麹町,賃貸マンション,東京都千代田区九段南３,東京メトロ南北線/市ケ谷駅 歩4分,築41年,14階建,11階,12.5万円,10000円,12.5万円,12.5万円,1K,37.66m2
6728,マートルコート麹町,賃貸マンション,東京都千代田区九段南３,東京メトロ南北線/市ケ谷駅 歩4分,築41年,14階建,7階,15万円,10000円,30万円,15万円,ワンルーム,37.66m2
6738,ＪＲ総武線 御茶ノ水駅 4階建 築4年,賃貸マンション,東京都千代田区外神田２,ＪＲ総武線/御茶ノ水駅 歩7分,築4年,4階建,3階,10.6万円,5000円,56.18万円,112.36万円,1K,23.15m2
6747,菱和パレス九段,賃貸マンション,東京都千代田区九段北４,ＪＲ中央線/市ケ谷駅 歩5分,築26年,7階建,2階,9.4万円,10500円,-,9.4万円,ワンルーム,22m2
6762,御茶ノ水ロイヤルハイツ犬塚ビル,賃貸マンション,東京都千代田区神田猿楽町２,東京メトロ丸ノ内線/御茶ノ水駅 歩9分,築47年,10階建,5階,22万円,-,44万円,22万円,2LDK,67.87m2
6765,東京メトロ東西線 大手町駅 14階建 築19年,賃貸マンション,東京都千代田区神田錦町１,東京メトロ東西線/大手町駅 歩6分,築19年,14階建,8階,9.7万円,10000円,9.7万円,9.7万円,ワンルーム,24.25m2
6766,東京メトロ東西線 大手町駅 14階建 築19年,賃貸マンション,東京都千代田区神田錦町１,東京メトロ東西線/大手町駅 歩6分,築19年,14階建,14階,10.3万円,10000円,10.3万円,10.3万円,ワンルーム,23.31m2
6767,東京メトロ東西線 大手町駅 14階建 築19年,賃貸マンション,東京都千代田区神田錦町１,東京メトロ東西線/大手町駅 歩6分,築19年,14階建,4階,12.1万円,10000円,12.1万円,12.1万円,ワンルーム,29.98m2
6774,ＪＲ山手線 秋葉原駅 12階建 築17年,賃貸マンション,東京都千代田区東神田２,ＪＲ山手線/秋葉原駅 歩7分,築17年,12階建,7階,11.1万円,15000円,11.1万円,11.1万円,1K,30.29m2
6783,パークサイド九段,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩1分,築23年,11階建,4階,8.9万円,5000円,8.9万円,8.9万円,1K,22.32m2
6786,東京メトロ丸ノ内線 淡路町駅 9階建 築51年,賃貸マンション,東京都千代田区神田淡路町１,東京メトロ丸ノ内線/淡路町駅 歩2分,築51年,9階建,8階,28万円,20000円,28万円,28万円,1LDK,62.8m2
6792,千代田タワーアネックス,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩6分,築21年,11階建,10階,9.5万円,10500円,-,9.5万円,ワンルーム,22.9m2
6795,ＪＲ山手線 秋葉原駅 11階建 築21年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩6分,築21年,11階建,9階,9.5万円,10500円,-,9.5万円,ワンルーム,22.9m2
6798,九段シルバーパレス,賃貸マンション,東京都千代田区九段南４,ＪＲ中央線/市ケ谷駅 歩4分,築39年,10階建,7階,9万円,-,9万円,9万円,ワンルーム,23.45m2
6801,マンションエイキ,賃貸マンション,東京都千代田区九段南２,東京メトロ東西線/九段下駅 歩8分,築52年,5階建,3階,9.5万円,-,9.5万円,9.5万円,2DK,34.5m2
6804,都営三田線 神保町駅 10階建 築8年,賃貸マンション,東京都千代田区神田猿楽町１,都営三田線/神保町駅 歩7分,築8年,10階建,4階,8.4万円,6000円,8.4万円,-,ワンルーム,18.78m2
6810,イルサ【ilusa】,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩2分,築22年,地下1地上6階建,2階,21.5万円,15000円,43万円,-,ワンルーム,49.55m2
6816,東京メトロ半蔵門線 神保町駅 5階建 築55年,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩1分,築55年,5階建,4階,18万円,10000円,18万円,18万円,1LDK,59.5m2
6822,サンハイツ九段,賃貸マンション,東京都千代田区飯田橋１,東京メトロ東西線/飯田橋駅 歩6分,築43年,10階建,9階,9.5万円,5000円,19万円,-,ワンルーム,29.88m2
6825,ライオンズマンション九段,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩7分,築45年,地下2地上7階建,2階,15.5万円,-,15.5万円,15.5万円,1LDK,35.72m2
6831,東京メトロ半蔵門線 半蔵門駅 6階建 築41年,賃貸マンション,東京都千代田区二番町,東京メトロ半蔵門線/半蔵門駅 歩9分,築41年,6階建,2階,58万円,-,116万円,58万円,2LDK,115.27m2
6837,九段フラワーホーム,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩4分,築45年,9階建,7階,7.2万円,10000円,7.2万円,7.2万円,ワンルーム,21.07m2
6838,九段フラワーホーム,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩4分,築45年,9階建,6階,8.3万円,-,8.3万円,-,1K,20.77m2
6846,東京メトロ東西線 竹橋駅 4階建 築56年,賃貸マンション,東京都千代田区神田錦町３,東京メトロ東西線/竹橋駅 歩5分,築56年,4階建,3階,9.2万円,5000円,9.2万円,-,1DK,26.5m2
6849,天兵ビル,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩1分,築57年,4階建,4階,13万円,15000円,13万円,13万円,1SDK,35.85m2
6852,アマビーレ神田猿楽町,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ中央線/御茶ノ水駅 歩8分,築6年,4階建,1階,10万円,5000円,10万円,10万円,1K,22.99m2
6855,東神田ＭＫビル,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩5分,築62年,5階建,4階,10万円,-,10万円,10万円,1DK,42.65m2
6858,ビリジアン六番町,賃貸マンション,東京都千代田区六番町,東京メトロ有楽町線/麹町駅 歩3分,築43年,3階建,2階,10.5万円,-,10.5万円,10.5万円,ワンルーム,16.84m2
6861,九段リハイム,賃貸マンション,東京都千代田区九段北１,都営新宿線/九段下駅 歩3分,築39年,11階建,6階,8万円,2000円,8万円,-,ワンルーム,20.81m2
6867,サクレ九段上,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,築6年,13階建,2階,11.4万円,8000円,11.4万円,5.7万円,ワンルーム,26.52m2
6868,サクレ九段上,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,築6年,13階建,6階,11.7万円,8000円,11.7万円,11.7万円,ワンルーム,26.52m2
6876,東京メトロ東西線 飯田橋駅 地下1地上11階建 築42年,賃貸マンション,東京都千代田区飯田橋１,東京メトロ東西線/飯田橋駅 歩3分,築42年,地下1地上11階建,7階,7.8万円,8000円,-,-,ワンルーム,17.47m2
6879,桔梗ライオンズマンション平河町,賃貸マンション,東京都千代田区平河町１,東京メトロ半蔵門線/半蔵門駅 歩3分,築43年,10階建,3階,7.8万円,-,7.8万円,7.8万円,ワンルーム,17.86m2
6882,明君モナーク九段,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩3分,築43年,9階建,3階,7.5万円,-,7.5万円,7.5万円,ワンルーム,18.71m2
6888,都営新宿線 岩本町駅 10階建 築40年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩5分,築40年,10階建,4階,9.4万円,9000円,-,4.7万円,ワンルーム,26.94m2
6891,シルキーハイツ九段南2号館,賃貸マンション,東京都千代田区九段南４,東京メトロ有楽町線/市ケ谷駅 歩2分,築39年,8階建,6階,7.2万円,10000円,7.2万円,7.2万円,1K,21.83m2
6894,ＪＲ山手線 神田駅 12階建 築20年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/神田駅 歩10分,築20年,12階建,2階,10.4万円,10000円,-,-,1K,24.8m2
6903,シャーメゾン四番町,賃貸マンション,東京都千代田区四番町,東京メトロ有楽町線/市ケ谷駅 歩8分,築19年,3階建,1階,8.3万円,4000円,8.3万円,8.3万円,1K,21m2
6906,三共富士見ビル,賃貸マンション,東京都千代田区富士見２,東京メトロ東西線/飯田橋駅 歩1分,築44年,6階建,4階,10.3万円,10000円,20.6万円,-,1DK,34.71m2
6910,東京メトロ半蔵門線 九段下駅 13階建 築6年,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩9分,築6年,13階建,9階,11.8万円,8000円,11.8万円,5.9万円,1K,26.52m2
6918,シルキーハイツ九段南,賃貸マンション,東京都千代田区九段南４,都営新宿線/市ケ谷駅 歩2分,築42年,地下1地上7階建,4階,9.8万円,-,9.8万円,9.8万円,ワンルーム,33.25m2
6919,シルキーハイツ九段南,賃貸マンション,東京都千代田区九段南４,都営新宿線/市ケ谷駅 歩2分,築42年,地下1地上7階建,4階,11万円,-,11万円,11万円,ワンルーム,33.25m2
6924,都営新宿線 岩本町駅 地下1地上11階建 築39年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩2分,築39年,地下1地上11階建,8階,9万円,8000円,9万円,-,ワンルーム,23.6m2
6927,クレール麹町,賃貸マンション,東京都千代田区麹町１,東京メトロ半蔵門線/半蔵門駅 歩1分,築44年,地下2地上10階建,6階,19.8万円,-,19.8万円,19.8万円,1DK,49.51m2
6930,セントラルレジデンス番町シティタワー,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/九段下駅 歩10分,築24年,12階建,2階,18.8万円,12000円,18.8万円,18.8万円,1LDK,48.67m2
6939,東京メトロ半蔵門線 半蔵門駅 12階建 築24年,賃貸マンション,東京都千代田区九段南２,東京メトロ半蔵門線/半蔵門駅 歩10分,築24年,12階建,2階,19.8万円,12000円,19.8万円,19.8万円,1LDK,48.67m2
6945,ＪＲ山手線 秋葉原駅 13階建 築20年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩8分,築20年,13階建,7階,9.7万円,12000円,9.7万円,9.7万円,ワンルーム,26.21m2
6948,東京メトロ銀座線 末広町駅 5階建 築53年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/末広町駅 歩5分,築53年,5階建,5階,4.6万円,12000円,4.6万円,4.6万円,ワンルーム,9.72m2
6949,東京メトロ銀座線 末広町駅 5階建 築53年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/末広町駅 歩5分,築53年,5階建,5階,5.3万円,12000円,-,-,ワンルーム,9.72m2
6954,ＪＲ山手線 秋葉原駅 6階建 築64年,賃貸マンション,東京都千代田区神田和泉町,ＪＲ山手線/秋葉原駅 歩3分,築64年,6階建,6階,6.6万円,-,-,-,ワンルーム,15.57m2
6960,番町ハイム,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,築52年,11階建,1-1階,8万円,10000円,8万円,8万円,ワンルーム,14.85m2
6963,千鳥ヶ淵ハウス,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩8分,築17年,13階建,3階,25万円,-,50万円,25万円,ワンルーム,42.51m2
6969,朝日飯田橋マンション,賃貸マンション,東京都千代田区飯田橋１,ＪＲ中央線/飯田橋駅 歩6分,築42年,11階建,10階,7.5万円,-,7.5万円,7.5万円,ワンルーム,16m2
6975,リブ九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩1分,築43年,7階建,6階,12万円,-,12万円,12万円,ワンルーム,29.41m2
6981,番町ロイヤルコート,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩1分,築46年,9階建,6階,10.8万円,10000円,21.6万円,10.8万円,ワンルーム,23.1m2
6982,番町ロイヤルコート,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩1分,築46年,9階建,3階,10.8万円,12000円,21.6万円,10.8万円,ワンルーム,26.4m2
6983,番町ロイヤルコート,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩1分,築46年,9階建,2階,12万円,14000円,24万円,12万円,ワンルーム,29.7m2
6996,東京メトロ半蔵門線 半蔵門駅 10階建 築42年,賃貸マンション,東京都千代田区麹町１,東京メトロ半蔵門線/半蔵門駅 歩1分,築42年,10階建,2階,7.5万円,-,7.5万円,7.5万円,ワンルーム,17.34m2
7008,ＨＡＭＩＬＴＯＮ　ＰＬＡＣＥ,賃貸マンション,東京都千代田区三番町,都営新宿線/市ケ谷駅 歩9分,築18年,地下1地上9階建,4階,14.4万円,10000円,14.4万円,14.4万円,ワンルーム,33.5m2
7023,アルベルゴ御茶ノ水,賃貸マンション,東京都千代田区神田駿河台２,ＪＲ総武線/御茶ノ水駅 歩1分,築47年,11階建,6階,6万円,5000円,6万円,6万円,ワンルーム,14.58m2
7024,アルベルゴ御茶ノ水,賃貸マンション,東京都千代田区神田駿河台２,ＪＲ総武線/御茶ノ水駅 歩1分,築47年,11階建,9階,6.8万円,3000円,6.8万円,-,ワンルーム,16m2
7025,アルベルゴ御茶ノ水,賃貸マンション,東京都千代田区神田駿河台２,ＪＲ総武線/御茶ノ水駅 歩1分,築47年,11階建,2階,7.3万円,-,7.3万円,7.3万円,ワンルーム,14.85m2
7026,アルベルゴ御茶ノ水,賃貸マンション,東京都千代田区神田駿河台２,ＪＲ総武線/御茶ノ水駅 歩1分,築47年,11階建,3階,7.5万円,5000円,7.5万円,15万円,ワンルーム,14.85m2
7035,朝日六番町マンション,賃貸マンション,東京都千代田区六番町,東京メトロ有楽町線/市ケ谷駅 歩7分,築42年,地下1地上10階建,8階,10万円,-,30万円,10万円,ワンルーム,26.1m2
7041,コーポ麹町,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩9分,築54年,地下1地上9階建,4階,14.5万円,-,14.5万円,14.5万円,1DK,37.72m2
7044,東京メトロ半蔵門線 半蔵門駅 地下1地上9階建 築54年,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩9分,築54年,地下1地上9階建,4階,15万円,-,15万円,15万円,1DK,37.72m2
